In bed start,In bed Finish,Minutes in bed,Minutes asleep,Time to fall sleep,Number of sleep periods
02-Oct-2017 00:02,02-Oct-2017 06:00,357.763554033637,0.0,0.0,0
02-Oct-2017 23:00,03-Oct-2017 06:00,420.092604816953,0.0,0.0,0
03-Oct-2017 23:00,04-Oct-2017 06:00,420.167458417018,0.0,0.0,0
04-Oct-2017 23:00,05-Oct-2017 06:00,420.14072149992,0.0,0.0,0
05-Oct-2017 23:00,06-Oct-2017 06:00,420.123266316454,0.0,0.0,0
06-Oct-2017 23:20,07-Oct-2017 06:00,400.116670616468,0.0,0.0,0
07-Oct-2017 23:00,08-Oct-2017 06:00,420.181008949876,0.0,0.0,0
08-Oct-2017 23:00,09-Oct-2017 06:00,420.21924025019,0.0,0.0,0
09-Oct-2017 23:31,10-Oct-2017 06:00,389.106961516539,0.0,0.0,0
10-Oct-2017 23:00,11-Oct-2017 06:00,420.096129600207,0.0,0.0,0
11-Oct-2017 23:00,12-Oct-2017 06:00,420.145989666382,0.0,0.0,0
12-Oct-2017 23:00,13-Oct-2017 06:00,420.111732032895,0.0,0.0,0
23-Oct-2017 23:04,24-Oct-2017 06:00,415.406854916612,0.0,0.0,0
24-Oct-2017 23:00,25-Oct-2017 06:00,420.17280309995,0.0,0.0,0
25-Oct-2017 23:00,26-Oct-2017 01:07,127.6,0.0,0.0,0
26-Oct-2017 01:46,26-Oct-2017 02:00,14.2,0.0,0.0,0
26-Oct-2017 05:42,26-Oct-2017 06:00,17.9055062333743,0.0,0.0,0
27-Oct-2017 00:47,27-Oct-2017 06:00,312.704278783003,0.0,0.0,0
27-Oct-2017 23:33,28-Oct-2017 06:00,386.969234928489,0.0,0.0,0
28-Oct-2017 23:00,29-Oct-2017 01:10,130.266666666667,0.0,0.0,0
29-Oct-2017 01:10,29-Oct-2017 01:10,0.0666666666666667,0.0,0.0,0
29-Oct-2017 01:10,29-Oct-2017 01:13,2.46666666666667,0.0,0.0,0
29-Oct-2017 01:14,29-Oct-2017 06:00,285.56819516619,0.0,0.0,0
29-Oct-2017 23:00,30-Oct-2017 02:55,235.8,0.0,0.0,0
30-Oct-2017 02:55,30-Oct-2017 06:00,184.518023900191,0.0,0.0,0
31-Oct-2017 00:36,31-Oct-2017 06:00,324.004661966364,0.0,0.0,0
01-Nov-2017 00:25,01-Nov-2017 06:09,343.808152917027,0.0,0.0,0
02-Nov-2017 00:13,02-Nov-2017 06:09,355.466666666667,0.0,0.0,0
03-Nov-2017 00:32,03-Nov-2017 06:09,336.877006699642,0.0,0.0,0
